~release_id~release_name~date
9~9~Advance Monthly Sales for Retail and Food Services~2012-02-14
25~25~Manufacturing and Trade Inventories and Sales~2012-02-14
46~46~Producer Price Index~2012-02-14
92~92~Selected Real Retail Sales Series~2012-02-14
188~188~U.S. Import and Export Price Indexes~2012-02-14
