~release_id~release_name~date
50~50~Employment Situation~2003-11-07
104~104~Federal Reserve Bulletin~2003-11-07
14~14~G.19 Consumer Credit~2003-11-07
22~22~H.8 Assets and Liabilities of Commercial Banks in the United States~2003-11-07
63~63~M2 Related Series~2003-11-07
61~61~Money Zero Maturity (MZM)~2003-11-07
